iter	Passed	Remaining
411	3896	5561
412	3904	5549
413	3912	5537
414	3919	5525
415	3927	5513
416	3936	5503
417	3945	5493
418	3954	5483
419	3961	5470
420	3968	5458
421	3976	5446
422	3984	5435
423	3993	5425
424	4002	5414
425	4011	5404
426	4019	5394
427	4026	5381
428	4036	5372
429	4045	5362
430	4054	5353
431	4064	5343
432	4072	5333
433	4082	5324
434	4092	5314
435	4100	5304
436	4109	5293
437	4117	5283
438	4128	5275
439	4163	5298
440	4183	5303
441	4198	5300
442	4207	5290
443	4217	5281
444	4225	5270
445	4235	5260
446	4244	5251
447	4259	5248
448	4280	5252
449	4296	5251
450	4317	5255
451	4331	5251
452	4350	5253
453	4365	5250
454	4375	5241
455	4387	5234
456	4400	5228
457	4414	5223
458	4425	5216
459	4437	5209
460	4448	5201
461	4461	5195
462	4473	5188
463	4485	5182
464	4498	5175
465	4509	5167
466	4520	5159
467	4532	5152
468	4541	5142
469	4551	5131
470	4559	5121
471	4569	5111
472	4580	5103
473	4588	5091
474	4597	5081
475	4605	5069
476	4613	5058
477	4623	5049
478	4632	5038
479	4640	5027
480	4650	5017
481	4661	5009
482	4669	4998
483	4679	4989
484	4689	4979
485	4696	4967
486	4707	4958
487	4716	4948
488	4726	4939
489	4736	4929
490	4745	4919
491	4754	4909
492	4764	4899
493	4771	4887
494	4782	4879
495	4793	4870
496	4801	4859
497	4812	4850
498	4821	4841
499	4831	4831
500	4842	4822
501	4852	4814
502	4863	4805
503	4873	4795
504	4881	4785
505	4890	4774
506	4902	4766
507	4910	4755
508	4922	4748
509	4933	4739
510	4942	4730
511	4953	4721
512	4961	4710
513	4971	4700
514	4980	4690
515	4990	4681
516	4998	4669
517	5006	4658
518	5015	4648
519	5023	4637
520	5032	4627
521	5042	4617
522	5052	4608
523	5061	4597
524	5071	4588
525	5080	4577
526	5090	4568
527	5101	4560
528	5110	4550
529	5120	4540
530	5129	4530
531	5138	4520
532	5149	4512
533	5160	4503
534	5169	4493
535	5178	4483
536	5187	4473
537	5198	4464
538	5209	4455
539	5219	4446
540	5229	4436
541	5241	4429
542	5252	4420
543	5262	4411
544	5271	4401
545	5282	4392
546	5292	4383
547	5302	4373
548	5312	4363
549	5321	4353
550	5331	4344
551	5339	4333
552	5349	4323
553	5360	4315
554	5369	4305
555	5378	4294
556	5386	4283
557	5395	4273
558	5404	4263
559	5416	4255
560	5423	4244
561	5433	4234
562	5442	4224
563	5454	4216
564	5471	4212
565	5483	4204
566	5493	4195
567	5502	4185
568	5510	4174
569	5519	4163
570	5528	4153
571	5537	4143
572	5547	4133
573	5555	4122
574	5564	4112
575	5572	4102
576	5584	4093
577	5593	4084
578	5602	4073
579	5611	4063
580	5628	4059
581	5637	4049
582	5647	4039
583	5656	4029
584	5665	4018
585	5673	4008
586	5683	3998
587	5692	3988
588	5701	3978
589	5711	3968
590	5721	3959
591	5730	3949
592	5739	3939
593	5748	3928
594	5757	3918
595	5765	3908
596	5774	3898
597	5783	3887
598	5793	3878
599	5801	3867
600	5809	3856
601	5817	3846
602	5825	3835
603	5832	3824
604	5842	3814
605	5850	3804
606	5859	3793
607	5868	3783
608	5876	3772
609	5884	3762
610	5893	3752
611	5903	3742
612	5912	3732
613	5921	3722
614	5930	3712
615	5938	3701
616	5946	3691
617	5955	3681
618	5964	3671
619	5973	3661
620	5982	3651
621	5990	3640
622	5999	3630
623	6009	3620
624	6018	3611
625	6026	3600
626	6035	3590
627	6045	3581
628	6055	3571
629	6064	3561
630	6074	3552
631	6084	3542
632	6093	3532
633	6103	3523
634	6112	3513
635	6123	3504
636	6132	3494
637	6142	3485
638	6151	3475
639	6160	3465
640	6168	3454
641	6179	3445
642	6187	3435
643	6196	3425
644	6206	3415
645	6215	3406
646	6224	3395
647	6234	3386
648	6241	3375
649	6250	3365
650	6258	3355
651	6267	3345
652	6276	3335
653	6285	3325
654	6294	3315
655	6302	3305
656	6309	3294
657	6318	3284
658	6326	3273
659	6333	3262
660	6341	3252
661	6350	3242
662	6358	3231
663	6367	3222
664	6376	3212
665	6384	3201
666	6393	3191
667	6402	3182
668	6411	3172
669	6419	3161
670	6428	3151
671	6436	3141
672	6446	3132
673	6454	3121
674	6462	3111
675	6471	3101
676	6480	3091
677	6488	3081
678	6497	3071
679	6506	3061
680	6515	3052
681	6535	3047
682	6547	3038
683	6560	3030
684	6569	3021
685	6580	3011
686	6590	3002
687	6603	2994
688	6614	2985
689	6626	2977
690	6637	2967
691	6649	2959
692	6659	2949
693	6669	2940
694	6679	2931
695	6691	2922
696	6700	2912
697	6711	2903
698	6722	2894
699	6733	2885
700	6742	2875
701	6754	2867
702	6763	2857
703	6772	2847
704	6783	2838
705	6794	2829
706	6803	2819
707	6814	2810
708	6824	2801
709	6833	2791
710	6845	2782
711	6855	2772
712	6867	2764
713	6879	2755
714	6889	2746
715	6898	2736
716	6907	2726
717	6915	2716
718	6923	2705
719	6930	2695
720	6939	2685
721	6948	2675
722	6957	2665
723	6966	2655
724	6974	2645
725	6983	2635
726	6991	2625
727	7001	2615
728	7009	2605
729	7018	2596
730	7027	2586
731	7036	2576
732	7046	2566
733	7055	2556
734	7064	2547
735	7072	2537
736	7085	2528
737	7097	2519
738	7109	2510
739	7117	2500
740	7125	2490
741	7133	2480
742	7142	2470
743	7153	2461
744	7164	2452
745	7174	2442
746	7186	2434
747	7198	2425
748	7208	2415
749	7217	2405
750	7225	2395
751	7236	2386
752	7247	2377
753	7255	2367
754	7263	2357
755	7271	2346
756	7279	2336
757	7288	2326
758	7296	2316
759	7305	2306
760	7313	2296
761	7322	2287
762	7331	2277
763	7340	2267
764	7349	2257
765	7356	2247
766	7365	2237
767	7374	2227
768	7382	2217
769	7391	2207
770	7400	2198
771	7411	2188
772	7420	2179
773	7429	2169
774	7437	2159
775	7446	2149
776	7454	2139
777	7464	2129
778	7472	2119
779	7481	2110
780	7490	2100
781	7499	2090
782	7507	2080
783	7515	2070
784	7524	2060
785	7532	2050
786	7541	2041
787	7550	2031
788	7559	2021
789	7567	2011
790	7575	2001
791	7583	1991
792	7592	1981
793	7601	1972
794	7609	1962
795	7617	1952
796	7632	1943
797	7640	1934
798	7648	1924
799	7657	1914
800	7666	1904
801	7674	1894
802	7683	1884
803	7692	1875
804	7700	1865
805	7708	1855
806	7717	1845
807	7725	1835
808	7733	1825
809	7742	1816
810	7750	1806
811	7759	1796
812	7767	1786
813	7777	1777
814	7786	1767
815	7795	1757
816	7804	1748
817	7812	1738
818	7820	1728
819	7829	1718
820	7838	1709
821	7847	1699
822	7856	1689
823	7864	1679
824	7874	1670
825	7882	1660
826	7891	1650
827	7900	1641
828	7909	1631
829	7919	1622
830	7933	1613
831	7940	1603
832	7949	1593
833	7957	1583
834	7966	1574
835	7975	1564
836	7984	1554
837	7994	1545
838	8006	1536
839	8014	1526
840	8023	1516
841	8032	1507
842	8041	1497
843	8051	1488
844	8061	1478
845	8069	1468
846	8079	1459
847	8087	1449
848	8095	1439
849	8103	1430
850	8113	1420
851	8122	1410
852	8132	1401
853	8142	1392
854	8151	1382
855	8159	1372
856	8169	1363
857	8179	1353
858	8187	1344
859	8195	1334
860	8204	1324
861	8212	1314
862	8221	1305
863	8230	1295
864	8239	1285
865	8247	1276
866	8256	1266
867	8265	1256
868	8273	1247
869	8281	1237
870	8290	1227
871	8299	1218
872	8308	1208
873	8315	1198
874	8324	1189
875	8332	1179
876	8340	1169
877	8348	1160
878	8357	1150
879	8366	1140
880	8374	1131
881	8384	1121
882	8391	1111
883	8400	1102
884	8409	1092
885	8419	1083
886	8428	1073
887	8437	1064
888	8445	1054
889	8453	1044
890	8462	1035
891	8470	1025
892	8479	1016
893	8488	1006
894	8496	996
895	8504	987
896	8513	977
897	8522	967
898	8530	958
899	8539	948
900	8548	939
901	8555	929
902	8564	919
903	8571	910
904	8578	900
905	8586	890
906	8596	881
907	8604	871
908	8613	862
909	8621	852
910	8631	843
911	8640	833
912	8648	824
913	8658	814
914	8666	805
915	8674	795
916	8684	786
917	8692	776
918	8700	766
919	8710	757
920	8718	747
921	8727	738
922	8736	728
923	8744	719
924	8753	709
925	8761	700
926	8769	690
927	8778	681
928	8788	671
929	8796	662
930	8805	652
931	8814	643
932	8823	633
933	8832	624
934	8842	614
935	8852	605
936	8861	595
937	8870	586
938	8880	576
939	8889	567
940	8897	557
941	8906	548
942	8915	538
943	8924	529
944	8933	519
945	8942	510
946	8950	500
947	8959	491
948	8968	481
949	8977	472
950	8985	462
951	8994	453
952	9003	444
953	9011	434
954	9019	425
955	9028	415
956	9036	406
957	9045	396
958	9054	387
959	9062	377
960	9071	368
961	9079	358
962	9089	349
963	9097	339
964	9105	330
965	9115	320
966	9123	311
967	9131	301
968	9141	292
969	9151	283
970	9160	273
971	9169	264
972	9178	254
973	9186	245
974	9195	235
975	9205	226
976	9213	216
977	9223	207
978	9232	198
979	9242	188
980	9251	179
981	9260	169
982	9268	160
983	9276	150
984	9286	141
985	9294	131
986	9303	122
987	9311	113
988	9320	103
989	9329	94
